name,price,store,rating,url,is_ad,sold,reviews
SEPATU ADINDAS SAMBA UNISEX PRIA DAN WANITA SEPATU CASUAL IMPORT Kasual Shoes Sneakers,290000,GUDANG SEPATU JAKARTA 2,4.8,https://www.tokopedia.com/gudang-sepatu-jakarta-2/sepatu-adindas-samba-unisex-pria-dan-wanita-sepatu-casual-import-kasual-shoes-sneakers-1730785385498772768?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,2rb+ terjual,0
Adidas Samba Maroon Gold Metallic,2640566,807GARAGE,5.0,https://www.tokopedia.com/807garage/adidas-samba-maroon-gold-metallic-1733725096399373673?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch%26whid%3D20646585,False,100+ terjual,0
SEPATU ADIDAS SAMBA PRIA WANITA / SEPATU SNEAKERS SAMBA,149000,Agytalic,5.0,https://www.tokopedia.com/sepatuseratus/sepatu-adidas-samba-pria-wanita-sepatu-sneakers-samba-putih-hitam-36-9eb7b?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,14 terjual,0
￼SEPATU ADIDS Smba SNEAKERS TALI SEPATU CASUAL SHOES,147726,Sportyshoes.id,4.9,https://www.tokopedia.com/sportyshoesid/sepatu-adids-smba-sneakers-tali-sepatu-casual-shoes-1730388237318194566?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,90+ terjual,0
New Adids samba Black & White| Unisex Casual 36 - 43 Made in Vietnam og - Putih kasual,115000,DRAGONS SNEAKERS,4.6,https://www.tokopedia.com/dragons-sneakers/new-adids-samba-black-white-unisex-casual-36-43-made-in-vietnam-og-putih-kasual-1732060599217718322?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,1rb+ terjual,0
Adidas Bali Samba Lowtop Blue,340000,budayabisnis,5.0,https://www.tokopedia.com/budayabisnis/adidas-bali-samba-lowtop-blue-41-6fe5e?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,3 terjual,0
ADIDAS SAMBA WHITE BLUE ORIGINAL,500000,SHOES JKT 01,5.0,https://www.tokopedia.com/shoesjkt01/adidas-samba-white-blue-original-blue-38-8365b?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,30+ terjual,0
Adidas Samba OG Black White Gum 100% Original BNIB,650000,Marketnesia Store,5.0,https://www.tokopedia.com/marketnesia/adidas-samba-og-black-white-gum-100-original-bnib-36-68fd2?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,7 terjual,0
Adidas Samba Consortium Cup End 100% Original BNIB,670000,Marketnesia Store,5.0,https://www.tokopedia.com/marketnesia/adidas-samba-consortium-cup-end-100-original-bnib-36-b7ad2?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,3 terjual,0
Sepatu Adds Samba Og Black White // Sneakers Casual Hitam Pria & Wanita,1250000,AR-Store Sneakers,0.0,https://www.tokopedia.com/ar-store-sneakers/sepatu-adds-samba-og-black-white-sneakers-casual-hitam-pria-wanita-1731098948060415350?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,2 terjual,0
Sepatu Casual Addis Samba OG GUM Premium BNIB Sepatu Sneakers Pria dan Wanita Trendi Masa Kini Terlaris Size 36-43 Free Box,165000,AndrysoesShop,5.0,https://www.tokopedia.com/andrysoesshop/sepatu-casual-addis-samba-og-gum-premium-bnib-sepatu-sneakers-pria-dan-wanita-trendi-masa-kini-terlaris-size-36-43-free-box-1733100783535031838?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,40+ terjual,0
Sepatu Adidas Samba OG white black Original,987630,Fancy.labs,4.8,https://www.tokopedia.com/fancylabs/sepatu-adidas-samba-og-white-black-original-1729912652440897157?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,100+ terjual,0
ADIDAS - SAMBA LT (CRYSTAL WHITE),880000,Salehood ID,0.0,https://www.tokopedia.com/salehood/adidas-samba-lt-crystal-white-1731003809202144489?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch%26whid%3D17727065,False,4 terjual,0
Sepatu Adidas Samba OG White Black Gum,499999,Oxswoord Of Sneakers,5.0,https://www.tokopedia.com/osneakers/sepatu-adidas-samba-og-white-black-gum-white-black-37-3a8a9?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,7 terjual,0
Adidas Samba OG White Gum (100% Authentic),1240000,ADIDAS OFFICIAL OFFICIAL.,5.0,https://www.tokopedia.com/adidasofficialstore/adidas-samba-og-white-gum-100-authentic-1730844000280610440?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,1 terjual,0
Adidas Samba OG White Black Gum 100% Original BNIB,650000,Marketnesia Store,5.0,https://www.tokopedia.com/marketnesia/adidas-samba-og-white-black-gum-100-original-bnib-36-72b2d?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,8 terjual,0
